Name of University
"University of California, Berkeley"
Yale University
University of Pennsylvania
Johns Hopkins University
University of Toronto
National University of Singapore
Cornell University
"University of California, Los Angeles"
UCL
New York University
Duke University
Northwestern University
University of Washington
University of Edinburgh
University of Hong Kong
LMU Munich
University of Melbourne
King’s College London
London School of Economics and Political Science
University of British Columbia
KU Leuven
Universität Heidelberg
Monash University
McGill University
Paris Sciences et Lettres – PSL Research University Paris
Karolinska Institute
University of Texas at Austin
Fudan University
The University of Queensland
University of Manchester
The University of Sydney
Washington University in St Louis
Wageningen University & Research
University of Amsterdam
Australian National University
"University of California, Davis"
"University of California, Santa Barbara"
Utrecht University
University of North Carolina at Chapel Hill
Boston University
Charité - Universitätsmedizin Berlin
University of Groningen
University of Bristol
Leiden University
Hong Kong Polytechnic University
Erasmus University Rotterdam
Emory University
University of Glasgow
University of Zurich
McMaster University
University of Tübingen
University of Bonn
Sorbonne University
Free University of Berlin
University of Bern
"University of California, Irvine"
Nanjing University
Vanderbilt University
City University of Hong Kong
University of Basel
King Abdulaziz University
University of Minnesota
Michigan State University
Ghent University
University of Birmingham
University of Southampton
University of Helsinki
Ohio State University (Main campus)
University of Freiburg
University of Copenhagen
Université Paris Cité
University of Sheffield
Aarhus University
University of Göttingen
Lund University
Vrije Universiteit Amsterdam
Lancaster University
Queen Mary University of London
University of Vienna
University of Oslo
University of Hamburg
University of Leeds
University of Nottingham
University of Antwerp
Case Western Reserve University
Georgetown University
University of Exeter
University of Ottawa
University of Auckland
Newcastle University
Radboud University Nijmegen
University of Würzburg
University of York
University of Pittsburgh-Pittsburgh campus
Maastricht University
Ulm University
Uppsala University
University of Florida
Tufts University
University of Virginia (Main campus)
University of Cape Town
University of Bologna
Trinity College Dublin
University of Leicester
Medical University of Graz
Indiana University
Université Catholique de Louvain
Macquarie University
University of Liverpool
University of Arizona
University of Barcelona
Autonomous University of Barcelona
Pompeu Fabra University
Cardiff University
University of Aberdeen
University of Miami
University of Erlangen-Nuremberg
Durham University
Queen’s University Belfast
University of Reading
University of Bergen
Bielefeld University
University of Calgary
Curtin University
University of Dundee
University of East Anglia
University of Geneva
George Washington University
University of Hohenheim
Humanitas University
University of Konstanz
Université Libre de Bruxelles
University of Luxembourg
University of Macau
Macau University of Science and Technology
Medical University of Innsbruck
University of Newcastle
University of Padua
University of Potsdam
Qatar University
Queensland University of Technology
Rutgers University – New Brunswick
"St George’s, University of London"
Sapienza University of Rome
Semmelweis University
University of St Andrews
University of Surrey
University of Sussex
University of Tartu
Tel Aviv University
Vita-Salute San Raffaele University
Vrije Universiteit Brussel
Western University
Western Sydney University
University of Wollongong
Auckland University of Technology
Australian Catholic University
Bond University
Boston College
Bournemouth University
Brighton and Sussex Medical School
"University of California, Riverside"
"China Medical University, Taiwan"
Deakin University
Heinrich Heine University Düsseldorf
Goethe University Frankfurt
Griffith University
University of Hawai’i at Mānoa
Hebrew University of Jerusalem
University of Illinois Chicago
Johannes Gutenberg University of Mainz
University of Kiel
Kyung Hee University
La Trobe University
Université Laval
Linköping University
University of Navarra
Oregon Health and Science University
University of Pavia
Queen’s University
University of Sharjah
Simon Fraser University
University of Southern Denmark
Stellenbosch University
Tilburg University
United Arab Emirates University
University of the Witwatersrand
Abu Dhabi University
Aix-Marseille University
Alfaisal University
Anglia Ruskin University (ARU)
Autonomous University of Madrid
University of Bordeaux
Brandeis University
Universiti Brunei Darussalam
"University of California, Merced"
University of Colorado Denver/Anschutz Medical Campus
Dalhousie University
Drexel University
University of Essex
Flinders University
Florida State University
University of Galway
George Mason University
University of Iowa
University of Milan
University of Milan-Bicocca
Montpellier University
University of Otago
University of Oulu
Saint Louis University
University of South Australia
University of Southern Queensland
Stony Brook University
Taipei Medical University
Tampere University
University of Tasmania
Temple University
University College Cork
University of Victoria
American University of Beirut
"Asia University, Taiwan"
Ateneo de Manila University
"Birkbeck, University of London"
University of Bremen
Catholic University of Portugal
Charles Darwin University
"City, University of London"
University of Delaware
East China Normal University
Edith Cowan University
Golestan University of Medical Sciences
University of Greifswald
University of Hail
Howard University
James Cook University
JSS Academy of Higher Education and Research
University of Kent
Khalifa University
Leuphana University of Lüneburg
University of Liège
University of Malaya
University of Manitoba
Mazandaran University of Medical Sciences
University of Naples Federico II
University of New Mexico (Main campus)
University of Rome II – Tor Vergata
"Royal Holloway, University of London"
Royal Veterinary College
Rush University
University of Stirling
Swedish University of Agricultural Sciences
Tulane University
University of Turku
University of Vaasa
Verona University
Wake Forest University
Washington State University
Wroclaw Medical University
Alagappa University
University of Alaska Fairbanks
Arak University of Medical Sciences
Aswan University
Babol University of Medical Sciences
