No of student
8591
27517
54598
5742
22861
8989
10662
21536
18243
7534
24236
3641
11149
1649
27308
17583
32619
17118
21098
32651
15002
3280
13206
17933
15019
65446
4178
28589
12052
11055
23557
19138
20598
36567
23270
8358
11648
6700
8661
26284
15756
15404
17082
15835
21847
24811
8919
13642
13072
36575
9757
9139
5448
8756
11405
76419
9525
5185
2356
14675
9687
8710
45019
5525
18647
16793
68462
45256
29369
460632
20894
16664
14297
12277
17785
4331
12197
10768
5595
24995
19524
15332
15370
47257
9084
16224
23917
52533
24651
8762
14131
13200
45783
13894
21524
16392
5132
15395
10942
11453
20506
21211
19738
24924
2950
27516
9627
5272
11179
22520
4151
9356
10186
45158
11946
20598
